	year	X.month	arr_flights	X.arr_delay	X.carrier_delay	weather_delay	nas_delay	security_delay	late_aircraft_delay
1	2004	1	583987	6509522	1723185	537786	2310463	15364	1922724
2	2005	1	594923	7621044	2067784	601992	2373719	13152	2564397
3	2006	1	581287	5852565	1716094	350723	1805841	8056	1971851
4	2007	1	621559	7856768	2200212	505125	2234312	12124	2904995
5	2008	1	605765	8366662	2355954	429828	2422180	12912	3145788
6	2009	1	532339	5611991	1553366	367294	1762603	6491	1922237
7	2010	1	521809	5124918	1578882	258297	1411991	22679	1853069
8	2011	1	494400	5031105	1538345	227464	1211385	11309	2042602
9	2012	1	486133	3850425	1191729	215457	984413	3706	1455120
10	2013	1	509519	4798252	1564374	233603	1148931	6304	1845040
11	2014	1	471949	7687929	2384451	578051	1476657	5353	3243417
12	2015	1	469968	5439862	1708155	263087	1278055	6700	2183865
13	2004	2	553876	5388895	1331459	364234	1996455	11295	1685452
14	2005	2	545332	5470941	1492652	315848	1876506	7289	1778646
15	2006	2	531247	5930072	1658066	333845	1803968	22340	2111853
16	2007	2	565604	8883527	2618501	646296	2208587	14144	3395999
17	2008	2	569236	9021911	2398296	544326	2572644	11361	3495284
18	2009	2	488410	4103172	1138257	151866	1434960	3605	1374484
19	2010	2	483270	5125358	1465833	308111	1389019	10212	1952183
20	2011	2	455516	5045776	1463091	258294	1267792	7112	2049487
21	2012	2	464826	2992529	1055852	116626	684334	5986	1129731
22	2013	2	469746	4493830	1415721	190890	1119658	4718	1762843
23	2014	2	430602	5817661	1762191	286760	1369808	4337	2394565
24	2015	2	429191	5635596	1712660	411265	1349173	4580	2157918
25	2004	3	601412	4986958	1288518	214701	1787331	8872	1687536
26	2005	3	617540	6825241	1848181	377667	2209616	22559	2367218
27	2006	3	605217	6994427	1896227	333336	2089504	18280	2657080
28	2007	3	639209	8593413	2548581	404860	2304310	13737	3321925
29	2008	3	616090	8849075	2527895	474687	2487133	15117	3344243
30	2009	3	557422	5927648	1565861	285155	1855778	6230	2214624
31	2010	3	549262	5504552	1649112	227050	1463005	9999	2155386
32	2011	3	526687	5450447	1637022	141124	1344471	6410	2321420
33	2012	3	521628	4744040	1534771	199416	1038001	3954	1967898
34	2013	3	552312	5704792	1666872	226006	1447591	8131	2356192
35	2014	3	503758	5352248	1723617	163780	1168846	3821	2292184
36	2015	3	504312	5438910	1818680	228661	1228893	6586	2156090
37	2004	4	582970	4217846	1161420	191870	1505284	9601	1349671
38	2005	4	594492	4264225	1335380	242815	1298076	8652	1379302
39	2006	4	585351	5972654	1687855	273740	1741250	23017	2246792
40	2007	4	614648	7442252	2078632	317424	2205125	14453	2826618
41	2008	4	598126	6444535	1926766	268806	1964005	7645	2277313
42	2009	4	537793	6082404	1509781	353424	2017471	4156	2197572
43	2010	4	529330	3670504	1232548	121930	930462	8255	1377309
44	2011	4	507024	6356338	1731194	247048	1735882	7915	2634299
45	2012	4	505218	3310043	1188623	144825	644874	4733	1326988
46	2013	4	536393	6648035	1808722	270386	1765792	7743	2795392
47	2014	4	483499	4879163	1489021	142051	1185096	4055	2058940
48	2015	4	485151	4619308	1490594	221590	1118027	3660	1785437
49	2004	5	594457	6981742	1521686	529168	2665016	8724	2257148
50	2005	5	614802	4564393	1385037	257587	1385878	5329	1530562
51	2006	5	602919	6388249	1726870	322533	1927774	7559	2403513
52	2007	5	631609	6864579	1919316	382267	2063976	11686	2487334
53	2008	5	606293	6213330	1722631	240013	1996671	9751	2244264
54	2009	5	546832	5226313	1379106	238418	1767069	4936	1836784
55	2010	5	542747	5633379	1588921	277376	1591463	5973	2169646
56	2011	5	520612	6353443	1687179	344779	1700346	8222	2612917
57	2012	5	518423	4486545	1428053	235352	1046010	6216	1770914
58	2013	5	548642	6097504	1674148	260324	1592755	7095	2563182
59	2014	5	499278	6093824	1772666	270690	1493938	6731	2549799
60	2015	5	496993	5437359	1667920	336555	1254652	5711	2172521
61	2004	6	588792	8257792	1946065	702461	2750596	14876	2843794
62	2005	6	609195	7817086	2065172	494727	2445503	10144	2801540
63	2006	6	598315	8832066	2488811	608474	2332203	11849	3390729
64	2007	6	629280	11431169	2992281	803209	3244260	20560	4370859
65	2008	6	608665	9872272	2482267	571832	3226918	10614	3580641
66	2009	6	557594	7227702	1965403	414439	2151260	8071	2688529
67	2010	6	551687	6932380	2023987	324997	1721647	7033	2854716
68	2011	6	528588	6609930	1998069	315736	1512665	9972	2773488
69	2012	6	526933	5526265	1794914	218325	1176826	7133	2329067
70	2013	6	552141	9360395	2439539	508863	2243833	9445	4158715
71	2014	6	502617	7755285	2174769	379880	1788826	6428	3405382
72	2015	6	503897	7370820	2296333	380699	1630868	7084	3055836
73	2004	7	614166	7570677	1971727	466874	2437579	14033	2680464
74	2005	7	627961	10281610	2516919	727936	3128157	13948	3894650
75	2006	7	621244	8902264	2599148	551181	2282707	11401	3457827
76	2007	7	648560	10815811	3008057	698240	2811468	23045	4275001
77	2008	7	627931	8764946	2417097	555794	2716037	13126	3062892
78	2009	7	580134	6845519	2013731	330616	1885143	7001	2609028
79	2010	7	570788	7007931	2119493	340059	1649654	9321	2889404
80	2011	7	547219	6650110	1984345	280585	1493581	4909	2886690
81	2012	7	545131	7643674	2170627	380130	1740721	6763	3345433
82	2013	7	571623	8728724	2448255	343062	2170773	8541	3758093
83	2014	7	520880	6865014	2100005	319170	1503200	5460	2937179
84	2015	7	520718	6386504	2021379	232468	1343455	6821	2782381
85	2004	8	623107	6704797	1718626	471948	2054527	15655	2444041
86	2005	8	630904	7580697	2164422	507289	2227201	20258	2661527
87	2006	8	628732	7646042	2246758	452936	2022056	64327	2859965
88	2007	8	653279	10065908	2866013	547181	2701698	17971	3933045
89	2008	8	612279	7096074	2130584	398906	2068748	7414	2490422
90	2009	8	568301	5983797	1801093	283920	1664002	11387	2223395
91	2010	8	569217	5225837	1673889	200689	1244824	6677	2099758
92	2011	8	541442	5747490	1755406	303533	1361589	7952	2319010
93	2012	8	540793	6166141	1916579	222523	1333356	10177	2683506
94	2013	8	562921	6111797	1852201	206418	1398283	7732	2647163
95	2014	8	507491	6066485	1832082	291580	1381727	7436	2553660
96	2015	8	510536	5616471	1819598	265792	1274603	11993	2244485
97	2004	9	585125	3706807	1085339	227281	1266018	23856	1104313
98	2005	9	574253	4050498	1349963	200089	1238216	6318	1255912
99	2006	9	584937	7028322	1838438	405927	2317486	13413	2453058
100	2007	9	600187	5294460	1748246	246889	1495285	11244	1792796
101	2008	9	540908	3633943	1218688	157032	1177489	4823	1075911
102	2009	9	510852	3314004	1123914	143152	960110	3015	1083813
103	2010	9	526107	3639279	1164541	144822	1014346	3548	1312022
104	2011	9	487468	3888719	1235940	134094	1014824	5110	1498751
105	2012	9	490199	4262193	1405706	109777	1043458	5301	1697951
106	2013	9	510806	4196632	1288132	158422	1014977	5186	1729915
107	2014	9	469489	4361717	1333490	127408	1200983	6411	1693425
108	2015	9	464946	3291587	1176791	137043	786621	5968	1185164
109	2004	10	610037	4783704	1308635	319073	1545249	11628	1599119
110	2005	10	592712	4991000	1381005	287169	1689471	9160	1624195
111	2006	10	611718	8328588	2129345	439564	2738419	11375	3009885
112	2007	10	629992	6674331	1908292	287745	2127859	11612	2338823
113	2008	10	556205	3507010	1145054	105092	1102384	5285	1149195
114	2009	10	531799	5800543	1526817	208114	1933420	6832	2125360
115	2010	10	545519	4254474	1306074	145112	1100194	5352	1697742
116	2011	10	504397	3441542	1169218	104732	863539	4860	1299193
117	2012	10	515254	4466517	1470511	89858	1093078	6015	1807055
118	2013	10	535344	3918255	1293737	78051	932630	4585	1609252
119	2014	10	491011	4969164	1427068	132092	1416315	4033	1989656
120	2015	10	486165	3315230	1206011	109225	802697	3040	1194257
121	2004	11	584610	5731901	1474893	416112	1862361	18773	1959762
122	2005	11	566138	5203843	1522750	257998	1797001	5883	1620211
123	2006	11	586197	6611296	1783605	335112	2195925	10087	2286567
124	2007	11	605149	5782072	1726179	203195	1753846	8190	2090662
125	2008	11	523272	4318569	1121975	139442	1527896	4087	1525169
126	2009	11	509540	2619958	937489	72053	759259	1876	849281
127	2010	11	520999	3930223	1257261	109983	1015379	4723	1542877
128	2011	11	478040	3335437	1084221	76733	907791	3788	1262904
129	2012	11	488006	3443886	1200259	99977	714364	3883	1425403
130	2013	11	503296	3945789	1294123	109446	897294	25367	1619559
131	2014	11	462054	4517246	1393829	155442	1117363	4155	1846457
132	2015	11	467972	4040704	1358705	186950	981254	8740	1505055
133	2004	12	606731	8247684	2301520	595952	2291475	26542	3032195
134	2005	12	572343	7829941	2312615	442673	2376853	18353	2679447
135	2006	12	604758	8700494	2484077	446472	2353582	19667	3396696
136	2007	12	616382	11261442	3212760	702867	3058749	18180	4268886
137	2008	12	544956	10549666	2601010	747959	2909396	12181	4279120
138	2009	12	529269	7262768	1991245	441926	2029211	15226	2785160
139	2010	12	539382	7208663	2156964	326786	1697134	13638	3014141
140	2011	12	493888	3765605	1269211	124251	889345	3794	1479004
141	2012	12	494218	6024434	1807832	247544	1329387	9185	2630486
142	2013	12	516739	7933597	2391073	388682	1694349	8804	3450689
143	2014	12	477183	5951225	1866220	141765	1416790	7130	2519320
144	2015	12	479230	6059516	1896130	326898	1287464	10102	2538922
